customer_id,monthly_spend_delta_pct,salary_credit_variance,emi_to_income_ratio_new,merchant_category_shift_score,peer_transfer_anomaly_score,utility_bill_location_change,sip_initiation_flag,balance_floor_volatility,life_event_label
CUST_00001,17.501,0.0663,0.2334,0.5682,0.5122,0,0,0.0571,digital_shift
CUST_00002,20.9054,0.0581,0.3184,0.3327,0.1058,0,0,0.2119,vehicle_purchase
CUST_00003,-0.8045,0.0682,0.433,0.0013,0.2433,0,0,0.3333,education_loan
CUST_00004,50.6254,0.7904,0.0985,0.1504,0.0625,0,1,0.1134,windfall_bonus
CUST_00005,19.2134,0.3214,0.2373,0.1929,0.2842,0,1,0.207,salary_hike
CUST_00006,18.3849,0.249,0.2708,0.407,0.0174,0,0,0.4452,vehicle_purchase
CUST_00007,25.508,0.2167,0.1753,0.7347,0.482,0,0,0.0841,job_change
CUST_00008,40.1018,-0.0119,0.2037,0.3425,0.2174,0,0,0.281,new_child
CUST_00009,30.8304,0.0205,0.2677,0.4639,0.0631,0,0,0.433,new_child
CUST_00010,30.4485,0.5045,0.1772,0.0054,0.0453,0,1,0.1089,salary_hike
CUST_00011,0.7379,-0.0944,0.5253,0.1397,0.1298,0,0,0.3251,education_loan
CUST_00012,31.3539,-0.0495,0.2417,0.5703,0.0517,0,0,0.3277,medical_event
CUST_00013,11.5277,-0.1003,0.3739,0.4311,0.0431,0,0,0.2344,vehicle_purchase
CUST_00014,46.4853,0.6079,0.176,0.1234,0.1487,0,1,0.1154,salary_hike
CUST_00015,17.084,0.0458,0.0635,0.6297,0.4752,1,0,0.1244,relocation
CUST_00016,16.4188,-0.1779,0.1523,0.6661,0.1108,0,0,0.3307,new_child
CUST_00017,62.655,0.7093,0.2255,0.2863,0.2972,0,1,0.2964,windfall_bonus
CUST_00018,33.1206,0.0496,0.0462,0.6937,0.5483,1,0,0.132,relocation
CUST_00019,21.5318,0.0193,0.3335,0.5736,0.1966,0,0,0.3916,medical_event
CUST_00020,45.4765,0.1343,0.0369,0.6226,0.3553,0,0,0.1991,travel_pattern
CUST_00021,17.8621,-0.0203,0.0635,0.6629,0.3693,1,0,0.0651,relocation
CUST_00022,43.9702,0.6455,0.0554,0.1321,0.0753,0,1,0.1889,salary_hike
CUST_00023,6.16,-0.0471,0.3279,0.2605,0.2297,0,0,0.2784,education_loan
CUST_00024,45.637,0.4109,0.1691,0.2478,0.034,0,0,0.1174,salary_hike
CUST_00025,33.4502,0.0064,0.1774,0.6929,0.2697,1,0,0.064,travel_pattern
CUST_00026,-3.353,0.0063,0.3602,0.0867,0.0964,0,0,0.5501,education_loan
CUST_00027,42.3793,0.1023,0.1773,0.674,0.0031,0,0,0.4469,new_child
CUST_00028,18.5117,0.1373,0.2845,0.4418,0.0885,0,0,0.2717,vehicle_purchase
CUST_00029,45.2429,0.5037,0.0531,0.7606,0.5768,0,0,0.0535,job_change
CUST_00030,28.9267,0.0003,0.4574,0.4896,0.0779,0,0,0.2284,vehicle_purchase
CUST_00031,19.8461,0.0558,0.1567,0.6228,0.4824,0,0,0.19,digital_shift
CUST_00032,17.4677,0.0427,0.2625,0.7235,0.0738,0,0,0.5653,medical_event
CUST_00033,5.1778,-0.0884,0.5134,0.1226,0.1469,0,0,0.4032,education_loan
CUST_00034,60.0916,0.7893,0.2461,0.2072,0.1308,0,0,0.1514,windfall_bonus
CUST_00035,19.8642,0.0478,0.254,0.6775,0.2915,0,0,0.5382,medical_event
CUST_00036,39.3455,-0.0126,0.3551,0.4625,0.2997,0,0,0.3414,new_child
CUST_00037,31.1708,0.5686,0.1196,0.1321,0.0448,0,0,0.1788,salary_hike
CUST_00038,35.8193,0.5521,0.2281,0.2064,0.0541,0,1,0.2021,windfall_bonus
CUST_00039,63.4175,0.7481,0.2111,0.2448,0.1909,0,1,0.1459,windfall_bonus
CUST_00040,15.995,-0.0277,0.1981,0.5587,0.3419,0,0,0.0626,digital_shift
CUST_00041,43.8533,-0.106,0.2382,0.6493,0.2167,0,0,0.566,medical_event
CUST_00042,4.9144,-0.0171,0.4525,0.0085,0.0654,0,0,0.5228,education_loan
CUST_00043,55.9637,0.888,0.0958,0.1677,0.2682,0,1,0.1378,windfall_bonus
CUST_00044,-1.0656,0.0065,0.0784,0.0747,0.0354,0,1,0.1075,retirement_approach
